Entities,Labels,Explanation
Brandi Levy,PERSON,"People, including fictional"
Mahanoy Area High School,ORG,"Companies, agencies, institutions, etc."
Mahanoy City,GPE,"Countries, cities, states"
Pa.,GPE,"Countries, cities, states"
April 4.Facing,DATE,Absolute or relative dates or periods
a half-century,DATE,Absolute or relative dates or periods
the Supreme Court,ORG,"Companies, agencies, institutions, etc."
Wednesday,DATE,Absolute or relative dates or periods
1969,DATE,Absolute or relative dates or periods
the Vietnam War,EVENT,"Named hurricanes, battles, wars, sports events, etc."
Mary Beth Tinker,PERSON,"People, including fictional"
four,CARDINAL,Numerals that do not fall under another type
7 to 2,CARDINAL,Numerals that do not fall under another type
first,ORDINAL,"""first"", ""second"", etc."
First Amendment,LAW,Named documents made into laws.
Wednesday,DATE,Absolute or relative dates or periods
Wednesday,DATE,Absolute or relative dates or periods
the Supreme Court,ORG,"Companies, agencies, institutions, etc."
1969,DATE,Absolute or relative dates or periods
Stephen Breyer,PERSON,"People, including fictional"
Sonia Sotomayor,PERSON,"People, including fictional"
Brett Kavanaugh,PERSON,"People, including fictional"
Brandi,ORG,"Companies, agencies, institutions, etc."
NBA,ORG,"Companies, agencies, institutions, etc."
Michael Jordan,PERSON,"People, including fictional"
more than 40 years,DATE,Absolute or relative dates or periods
the Justice Department,ORG,"Companies, agencies, institutions, etc."
Elena Kagan,PERSON,"People, including fictional"
Malcolm Stewart,PERSON,"People, including fictional"
Kagan,PERSON,"People, including fictional"
Stewart,PERSON,"People, including fictional"
the Justice Department,ORG,"Companies, agencies, institutions, etc."
ACLU,ORG,"Companies, agencies, institutions, etc."
David Cole,PERSON,"People, including fictional"
Brandi Levy,PERSON,"People, including fictional"
Tinker,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
"1969.""Expanding",DATE,Absolute or relative dates or periods
Tinker,ORG,"Companies, agencies, institutions, etc."
24/7,CARDINAL,Numerals that do not fall under another type
the First Amendment's,LAW,Named documents made into laws.
Cole,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
47,CARDINAL,Numerals that do not fall under another type
Kagan,PERSON,"People, including fictional"
Cole,PRODUCT,"Objects, vehicles, foods, etc. (not services)"
Lisa Blatt,PERSON,"People, including fictional"
